duration,protocol_type,service,src_bytes,dst_bytes,flag,wrong_fragment,hot,failed_logins,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,label
19.9126,0,1,225.0809,600.9812,0,0.0,1.0,5.0,127,72,0.9382,0.0291,196,0.8506,3
0.3193,0,0,528.4338,4137.8549,0,0.0,0.0,0.0,15,10,0.8316,0.1252,50,0.8863,0
0.045,1,0,27.6537,8.1823,1,1.0,0.0,0.0,258,203,0.9406,0.0714,16,0.1643,1
1.2976,0,2,559.2997,433.4908,0,0.0,4.0,3.0,108,94,0.9244,0.054,143,0.8003,3
0.3165,0,3,32.0504,7.5963,3,0.0,0.0,0.0,393,310,0.9903,0.0568,31,0.2619,1
16.4484,0,0,361.1282,5498.7841,0,0.0,0.0,0.0,9,6,0.9411,0.0625,99,0.8595,0
0.2037,0,0,20.0307,1.6207,1,0.0,0.0,0.0,468,296,0.89,0.0586,20,0.109,1
22.0086,0,4,285.4455,4843.2763,0,0.0,0.0,0.0,7,9,0.8943,0.1143,221,0.9145,0
6.1054,0,1,541.4914,322.5619,2,0.0,2.0,3.0,134,78,0.8688,0.003,87,0.8419,3
1.8144,0,1,537.9993,366.253,2,0.0,2.0,4.0,50,73,0.826,0.0587,92,0.6668,3
9.8915,1,1,1363.2611,3008.5278,3,0.0,0.0,0.0,13,14,0.8624,0.1297,217,0.9567,0
12.6007,0,1,536.8948,797.3241,2,0.0,3.0,3.0,48,73,0.8619,0.0163,61,0.7693,3
4.706,0,0,705.7819,6243.1367,0,0.0,0.0,0.0,12,13,0.8471,0.1389,201,0.8717,0
1.1017,0,3,9.5218,15.1597,3,0.0,0.0,0.0,101,2,0.2329,0.7823,24,0.1048,2
0.028,0,2,29.4685,9.2801,2,0.0,0.0,0.0,242,13,0.0904,0.8034,15,0.1483,2
4.0581,1,0,529.656,4653.0228,1,0.0,0.0,0.0,22,7,0.9769,0.0841,117,0.9328,0
10.1704,0,0,2538.58,7870.2928,0,0.0,0.0,0.0,11,7,0.7848,0.0968,61,0.7308,0
0.1059,0,3,96.2605,6.7833,1,0.0,0.0,0.0,378,495,0.9508,0.0373,36,0.1986,1
0.2821,0,0,15.6265,6.4043,1,0.0,0.0,0.0,250,458,0.9813,0.0147,29,0.3889,1
0.2512,0,3,58.1247,15.9304,2,0.0,0.0,0.0,126,13,0.2238,0.758,22,0.1472,2
0.0355,0,5,15.1456,7.6215,1,0.0,0.0,0.0,398,343,0.8615,0.0974,21,0.1882,1
0.3352,0,0,21.5755,2.3425,1,0.0,0.0,0.0,431,376,0.866,0.0707,14,0.1516,1
0.3119,0,2,51.9432,5.9121,1,0.0,0.0,0.0,248,1,0.1763,0.9537,1,0.0124,2
6.7986,1,1,926.3662,2373.3087,0,0.0,0.0,0.0,11,14,0.9551,0.0647,56,0.712,0
8.1867,0,1,167.3276,435.8006,0,0.0,1.0,5.0,87,47,0.9406,0.0643,135,0.7502,3
0.3865,0,4,36.2355,3.1916,1,0.0,0.0,0.0,147,2,0.1061,0.8942,9,0.0211,2
2.9976,0,1,153.5397,667.9523,0,0.0,3.0,5.0,93,34,0.8787,0.0695,81,0.7731,3
0.3112,0,3,29.7585,3.8838,1,0.0,0.0,0.0,507,245,0.9606,0.0055,7,0.2342,1
0.253,0,2,58.496,7.3667,2,0.0,0.0,0.0,220,2,0.1008,0.8616,12,0.0939,2
0.7327,1,0,53.8517,29.5742,1,0.0,0.0,0.0,288,13,0.0581,0.9218,24,0.0881,2
4.8249,0,1,373.3921,529.6255,1,0.0,3.0,4.0,34,62,0.9579,0.0999,191,0.6436,3
24.7484,1,0,1084.2331,5158.1603,0,0.0,0.0,0.0,18,12,0.8155,0.0791,56,0.8444,0
4.9574,0,2,343.6773,598.614,1,0.0,5.0,6.0,50,89,0.8329,0.0686,126,0.6743,3
0.2014,0,0,63.7869,3.9079,1,0.0,0.0,0.0,426,202,0.9262,0.0625,23,0.1315,1
0.3367,0,1,592.759,703.9172,2,0.0,5.0,4.0,132,51,0.8482,0.0128,75,0.7892,3
3.6929,0,1,238.0533,738.9762,0,0.0,1.0,3.0,108,85,0.9029,0.0016,74,0.6822,3
2.1244,0,0,261.4015,1762.365,0,0.0,0.0,0.0,25,12,0.8367,0.0942,125,0.7128,0
1.1886,0,2,50.7906,27.8211,2,0.0,0.0,0.0,249,13,0.0776,0.8571,11,0.1152,2
0.2279,0,0,65.0251,1.6916,1,0.0,0.0,0.0,426,457,0.9906,0.0574,33,0.2492,1
5.7376,0,0,1130.2838,2556.2617,0,0.0,0.0,0.0,17,11,0.8888,0.1379,180,0.714,0
0.1331,0,0,52.0732,3.611,1,0.0,0.0,0.0,358,394,0.8632,0.0981,22,0.2537,1
1.0461,0,3,41.1194,27.8885,2,0.0,0.0,0.0,162,4,0.1732,0.7941,14,0.1918,2
1.9719,0,2,186.9917,213.4359,0,0.0,4.0,5.0,45,74,0.8787,0.0112,105,0.6314,3
11.5148,0,1,306.3863,553.5907,0,0.0,3.0,2.0,43,27,0.8845,0.0752,84,0.8087,3
0.9221,1,3,43.0196,1.4551,2,0.0,0.0,0.0,180,14,0.1463,0.7997,4,0.0716,2
0.4117,2,0,534.4397,1327.3998,0,0.0,0.0,0.0,18,9,0.7575,0.0208,235,0.7451,0
0.4292,0,0,127.4268,8.4199,1,0.0,0.0,0.0,314,497,0.871,0.0674,30,0.312,1
0.2932,1,0,83.8484,3.1443,0,0.0,0.0,0.0,341,210,0.9228,0.0483,12,0.1025,1
8.8659,0,0,1502.8739,761.8906,2,0.0,0.0,0.0,11,11,0.9169,0.0604,157,0.9564,0
0.4586,0,0,34.3936,3.9269,1,0.0,0.0,0.0,321,321,0.921,0.026,6,0.2785,1
0.4957,0,4,29.0467,28.7845,0,0.0,0.0,0.0,102,7,0.1324,0.885,7,0.09,2
3.592,0,1,435.7062,613.2795,0,0.0,2.0,7.0,106,37,0.8044,0.0114,59,0.8452,3
17.446,0,5,514.5392,3112.5403,0,0.0,0.0,0.0,19,13,0.76,0.0369,146,0.7356,0
3.8278,0,0,1859.1792,1947.983,0,0.0,0.0,0.0,13,14,0.7696,0.1385,164,0.7923,0
0.3893,0,3,50.0589,8.8573,2,0.0,0.0,0.0,200,1,0.0469,0.9828,4,0.0899,2
0.3879,0,0,146.2576,1.3697,1,0.0,0.0,0.0,332,354,0.9012,0.0997,2,0.1728,1
0.2266,0,0,92.8642,3.5191,1,1.0,0.0,0.0,502,304,0.8902,0.0689,14,0.1206,1
1.4363,0,1,208.7013,633.8877,0,0.0,1.0,7.0,135,86,0.8459,0.0645,85,0.9461,3
0.3681,0,0,66.2552,4.05,1,0.0,0.0,0.0,297,269,0.9521,0.0679,43,0.3881,1
2.3488,0,4,1127.2646,4381.0813,0,0.0,0.0,0.0,14,13,0.8316,0.1301,243,0.9434,0
0.2136,0,3,23.2693,3.1316,1,0.0,0.0,0.0,383,448,0.8748,0.0502,47,0.132,1
24.8577,0,4,619.1465,3319.6776,0,0.0,0.0,0.0,17,11,0.8932,0.0737,120,0.9588,0
0.5935,0,2,520.8193,470.9804,0,0.0,4.0,6.0,121,67,0.9295,0.0842,144,0.7371,3
1.0186,0,1,62.3112,10.7252,1,0.0,0.0,0.0,126,13,0.2173,0.7947,9,0.0567,2
0.1755,0,2,29.9727,14.5029,2,0.0,0.0,0.0,299,3,0.1184,0.9838,24,0.0815,2
0.2782,0,0,23.5308,6.2106,2,0.0,0.0,0.0,426,393,0.958,0.0692,27,0.3585,1
11.9521,0,1,972.8899,3748.7739,0,0.0,0.0,0.0,13,16,0.9848,0.0329,129,0.8278,0
0.4015,0,3,34.7268,1.0127,0,0.0,0.0,0.0,374,327,0.8575,0.0346,31,0.2739,1
0.3346,1,3,33.1417,31.3712,3,0.0,0.0,0.0,154,8,0.1602,0.9752,6,0.17,2
52.4713,0,0,710.476,3134.0056,0,0.0,0.0,0.0,10,11,0.9626,0.1138,71,0.9478,0
6.0784,0,1,480.8459,610.143,0,0.0,2.0,7.0,92,31,0.9805,0.0468,86,0.6446,3
6.7509,1,1,623.4223,2269.4575,0,0.0,0.0,0.0,20,8,0.9824,0.0132,99,0.7932,0
4.1868,0,1,1496.6116,3168.2029,0,0.0,0.0,0.0,11,13,0.8231,0.0717,253,0.8536,0
8.1666,0,0,652.3686,6504.061,0,0.0,0.0,0.0,10,15,0.9245,0.0287,159,0.759,0
3.147,0,1,479.2676,501.407,0,0.0,1.0,6.0,41,62,0.8067,0.0617,143,0.7728,3
10.5849,0,1,580.3817,390.2741,1,0.0,1.0,3.0,97,45,0.9085,0.098,54,0.7991,3
0.4725,0,3,136.4975,2.368,1,0.0,0.0,0.0,415,372,0.9118,0.072,24,0.1311,1
52.8997,0,5,334.2802,3170.4756,0,0.0,0.0,0.0,12,13,0.9435,0.0959,65,0.7132,0
0.4736,0,0,857.3624,3291.773,0,0.0,0.0,0.0,13,9,0.8535,0.0272,180,0.8935,0
0.1109,0,0,94.3945,8.2971,1,0.0,0.0,0.0,499,423,0.8845,0.0709,8,0.3982,1
3.7543,0,2,289.119,216.712,0,0.0,1.0,7.0,111,125,0.8671,0.0844,75,0.6734,3
0.4469,0,1,321.3223,788.9988,0,0.0,1.0,6.0,116,64,0.9577,0.0757,194,0.677,3
0.4304,1,3,17.3525,24.8392,2,0.0,0.0,0.0,167,7,0.1412,0.7981,10,0.0796,2
0.1737,0,0,24.514,2.7097,1,0.0,0.0,0.0,255,398,0.9197,0.0435,18,0.1744,1
0.1693,1,3,727.3858,3445.6354,0,0.0,0.0,0.0,15,16,0.8034,0.0011,146,0.7673,0
0.4922,1,3,59.4237,11.0723,1,0.0,0.0,0.0,223,13,0.1886,0.7704,18,0.1785,2
13.6415,0,0,1748.7407,2599.1559,0,0.0,0.0,0.0,15,15,0.9481,0.0122,64,0.989,0
1.0609,0,0,737.3077,3061.7724,0,0.0,0.0,0.0,18,16,0.8545,0.0327,51,0.9207,0
0.2261,0,3,33.6098,30.1568,2,0.0,0.0,0.0,202,10,0.1207,0.7697,19,0.0976,2
0.0035,0,0,123.0085,7.1691,2,0.0,0.0,0.0,475,337,0.9256,0.0094,49,0.2368,1
11.8975,0,2,340.04,466.0507,0,0.0,0.0,0.0,9,10,0.8503,0.0178,120,0.7047,0
0.7349,0,0,11.323,15.146,0,0.0,0.0,0.0,115,10,0.0938,0.9114,21,0.0274,2
1.0832,2,5,3.3654,30.1536,1,0.0,0.0,0.0,299,12,0.2138,0.9211,6,0.0917,2
1.4611,0,1,472.2807,516.3386,0,0.0,1.0,7.0,88,97,0.9054,0.0263,174,0.8429,3
49.7848,0,4,1034.8859,2312.832,0,0.0,0.0,0.0,9,12,0.9961,0.1392,114,0.8088,0
3.1119,0,3,469.1261,1697.497,1,0.0,0.0,0.0,10,12,0.9029,0.0026,176,0.8597,0
1.1794,1,3,28.0508,16.0038,2,0.0,0.0,0.0,135,5,0.0411,0.83,22,0.1269,2
0.2648,0,0,25.6082,8.2061,1,0.0,0.0,0.0,505,423,0.9811,0.0823,33,0.3219,1
1.6434,0,1,354.216,785.5548,0,0.0,1.0,7.0,110,87,0.8917,0.0886,106,0.6098,3
5.8387,0,1,408.1535,680.6719,0,0.0,4.0,3.0,132,101,0.8808,0.0427,159,0.7682,3
4.1409,0,0,1505.259,3571.491,0,0.0,0.0,0.0,19,9,0.8133,0.0034,104,0.7934,0
0.6107,0,4,26.3029,21.4507,2,0.0,0.0,0.0,228,6,0.0114,0.95,2,0.1138,2
6.2897,0,0,500.1605,2743.3321,0,0.0,0.0,0.0,17,14,0.8421,0.1315,152,0.9855,0
12.9221,0,1,435.6144,4589.9808,0,0.0,0.0,0.0,6,7,0.898,0.0477,226,0.7941,0
2.3923,0,1,551.626,251.5574,2,0.0,3.0,2.0,104,99,0.9593,0.0684,128,0.9479,3
0.8169,0,2,18.9877,10.6855,1,0.0,0.0,0.0,267,6,0.0493,0.982,20,0.0731,2
0.2548,0,0,25.3674,22.3256,2,0.0,0.0,0.0,188,14,0.2334,0.9432,12,0.1934,2
0.716,0,4,53.8917,26.0155,1,0.0,0.0,0.0,211,8,0.1845,0.7659,8,0.1419,2
7.6883,0,0,1093.8555,876.8038,0,0.0,0.0,0.0,11,9,0.7561,0.023,104,0.7351,0
1.0114,0,5,4.0404,29.8957,2,0.0,0.0,0.0,86,4,0.012,0.9011,24,0.1316,2
7.3156,0,2,452.6743,279.1894,0,0.0,2.0,5.0,94,46,0.8349,0.0609,46,0.6011,3
0.4793,1,3,15.9268,0.3349,1,0.0,0.0,0.0,267,331,0.9682,0.0864,35,0.2935,1
0.3979,0,2,18.8783,18.5609,1,0.0,0.0,0.0,197,2,0.0265,0.8011,5,0.1019,2
8.8395,0,0,2954.5436,2089.6637,0,0.0,0.0,0.0,9,14,0.9659,0.0046,84,0.7131,0
2.3728,0,1,169.7539,685.7586,2,0.0,2.0,2.0,148,117,0.8804,0.0915,198,0.859,3
0.3899,2,5,23.5912,3.2299,2,0.0,0.0,0.0,497,474,0.8918,0.017,1,0.1267,1
1.3651,0,1,436.0246,348.3281,0,0.0,2.0,6.0,137,119,0.8593,0.0161,124,0.9288,3
13.5862,0,2,271.9454,480.941,0,0.0,4.0,3.0,43,70,0.8881,0.067,188,0.7211,3
4.5139,0,1,213.4604,538.3563,0,0.0,4.0,2.0,88,76,0.9362,0.0385,103,0.8529,3
0.1181,1,0,12.2434,7.2988,1,0.0,0.0,0.0,484,402,0.9916,0.006,22,0.2943,1
3.3529,0,1,299.6594,385.6942,0,0.0,4.0,7.0,31,71,0.9138,0.0365,42,0.8141,3
36.3904,1,0,1252.9843,1214.8378,0,0.0,0.0,0.0,15,10,0.9678,0.1429,57,0.7245,0
0.0885,0,0,234.4305,1.7515,2,0.0,0.0,0.0,361,391,0.9802,0.0622,4,0.3023,1
1.0467,0,0,2296.6921,1933.4414,0,0.0,0.0,0.0,9,17,0.7629,0.0301,150,0.9911,0
0.1878,0,0,2.915,3.5989,1,0.0,0.0,0.0,276,425,0.8547,0.0584,28,0.1754,1
10.3974,0,1,222.1113,511.335,1,0.0,4.0,4.0,101,138,0.9962,0.0668,120,0.8084,3
0.4878,0,3,48.1611,8.0326,1,0.0,0.0,0.0,288,390,0.9336,0.0908,13,0.3826,1
0.4072,0,0,144.1882,2.5675,1,0.0,0.0,0.0,393,410,0.915,0.0075,33,0.1923,1
0.1848,1,3,72.1936,0.7144,1,0.0,0.0,0.0,362,483,0.8528,0.0763,18,0.334,1
0.393,1,0,48.9633,3.6127,1,0.0,0.0,0.0,411,235,0.9104,0.0428,26,0.326,1
0.3917,0,0,19.5077,0.4085,1,0.0,0.0,0.0,439,224,0.9058,0.028,20,0.1952,1
0.4524,0,0,55.5208,5.0028,1,0.0,0.0,0.0,279,365,0.9547,0.0151,6,0.3426,1
0.0431,0,0,66.0513,4.9884,0,0.0,0.0,0.0,478,482,0.9072,0.0763,36,0.3542,1
5.3975,0,1,346.3788,628.0595,1,0.0,1.0,7.0,114,69,0.9092,0.0205,79,0.8737,3
1.7741,0,2,432.4558,686.1238,0,0.0,5.0,3.0,81,33,0.8069,0.0963,57,0.6449,3
13.7396,0,0,619.7854,3059.8593,0,0.0,0.0,0.0,11,10,0.8506,0.0834,88,0.7897,0
1.2803,0,4,786.9411,2065.449,0,0.0,0.0,0.0,19,9,0.7829,0.1231,243,0.7836,0
1.505,0,1,406.2234,743.3468,1,0.0,3.0,6.0,82,114,0.9417,0.0805,111,0.6645,3
2.3723,0,1,368.8729,216.8656,2,0.0,5.0,6.0,43,100,0.8169,0.0399,51,0.6841,3
5.5753,0,3,716.7253,3896.5923,0,0.0,0.0,0.0,14,13,0.8152,0.0746,251,0.9405,0
2.815,0,2,464.741,2375.354,0,0.0,0.0,0.0,15,12,0.8465,0.074,66,0.8921,0
0.778,0,3,32.3786,31.5087,1,0.0,0.0,0.0,103,13,0.0455,0.9598,2,0.161,2
3.2065,0,3,187.091,2278.1294,0,0.0,0.0,0.0,17,8,0.9875,0.1364,93,0.7643,0
0.752,1,0,62.2863,18.6802,2,0.0,0.0,0.0,200,3,0.0999,0.9307,3,0.1194,2
0.9122,0,0,7.4968,13.9171,1,0.0,0.0,0.0,86,14,0.1653,0.9141,14,0.0825,2
0.6579,0,2,391.8668,637.389,0,0.0,3.0,2.0,91,45,0.8597,0.0811,172,0.7978,3
1.0706,1,2,31.7739,2.057,2,0.0,0.0,0.0,229,1,0.072,0.9013,23,0.0952,2
0.2168,0,3,25.5643,15.6346,2,0.0,0.0,0.0,263,13,0.2258,0.909,20,0.1371,2
19.7584,2,0,1406.8975,2581.1873,0,0.0,0.0,0.0,14,19,0.8256,0.0316,154,0.7357,0
9.4889,1,0,468.9258,11148.6121,0,0.0,0.0,0.0,11,10,0.9845,0.0379,80,0.9239,0
5.0878,0,1,309.4379,701.9144,0,0.0,4.0,2.0,122,26,0.871,0.0675,72,0.8935,3
26.1563,1,2,596.9761,3779.2578,0,0.0,0.0,0.0,16,9,0.8809,0.1171,169,0.9178,0
0.4381,0,2,243.7272,268.2445,2,0.0,2.0,5.0,98,77,0.8003,0.0256,196,0.6701,3
1.2921,0,1,545.1921,644.756,1,0.0,2.0,5.0,40,33,0.9777,0.0719,160,0.7902,3
0.0443,0,0,6.124,13.0878,1,0.0,0.0,0.0,85,5,0.1528,0.8036,2,0.132,2
0.2688,0,0,22.6256,8.5273,1,0.0,0.0,0.0,390,465,0.9636,0.0238,2,0.1545,1
1.0024,0,3,19.8773,20.7761,2,0.0,0.0,0.0,166,8,0.2473,0.755,10,0.0928,2
0.0802,0,3,12.751,25.5721,2,0.0,0.0,0.0,269,9,0.0805,0.8415,13,0.1123,2
0.0488,2,3,48.7275,2.8073,0,0.0,0.0,0.0,156,7,0.0153,0.9488,6,0.1573,2
25.2131,0,0,779.314,6341.0019,0,0.0,0.0,0.0,12,13,0.9054,0.0298,82,0.887,0
3.241,0,1,565.5473,286.8868,0,0.0,4.0,5.0,100,33,0.9475,0.0678,113,0.6036,3
0.6259,0,2,9.347,8.0833,0,0.0,0.0,0.0,254,14,0.2261,0.911,2,0.1196,2
0.4325,0,5,45.3337,18.1276,2,0.0,0.0,0.0,98,6,0.1988,0.7936,19,0.0466,2
0.2516,0,0,47.7265,8.9634,1,0.0,0.0,0.0,414,332,0.9538,0.0656,3,0.3225,1
9.6696,0,0,576.6138,1159.3575,0,0.0,0.0,0.0,14,13,0.8201,0.061,188,0.827,0
5.9643,0,1,204.024,539.6637,0,0.0,4.0,4.0,147,28,0.899,0.0458,133,0.9246,3
5.2825,2,2,386.0589,8607.2806,0,0.0,0.0,0.0,14,7,0.9944,0.0226,88,0.8677,0
22.4079,1,5,1430.3203,4843.4125,0,0.0,0.0,0.0,17,12,0.9981,0.1123,72,0.7665,0
0.0735,0,3,144.5703,4.3033,1,0.0,0.0,0.0,511,351,0.9294,0.0432,44,0.1728,1
4.0186,0,3,1126.0525,4106.731,1,0.0,0.0,0.0,12,8,0.872,0.0045,71,0.7809,0
3.683,0,0,714.4571,4441.9765,0,0.0,0.0,0.0,18,7,0.8507,0.1035,136,0.8769,0
0.0531,2,0,24.1358,3.9487,1,0.0,0.0,0.0,271,409,0.8744,0.067,30,0.3084,1
0.3986,0,0,48.2908,4.9929,1,1.0,0.0,0.0,369,437,0.9492,0.0601,25,0.3349,1
0.6345,2,0,1.2384,3.8723,2,0.0,0.0,0.0,142,14,0.1432,0.794,4,0.1418,2
67.405,0,3,838.3667,2857.128,0,0.0,0.0,0.0,9,17,0.7622,0.1333,91,0.8326,0
0.0958,0,3,97.5317,8.6767,2,0.0,0.0,0.0,468,374,0.9151,0.0407,29,0.1186,1
0.5768,0,1,555.0408,266.558,0,0.0,3.0,7.0,97,135,0.8004,0.0129,101,0.7643,3
0.2901,0,0,34.2342,19.793,2,0.0,0.0,0.0,266,11,0.1995,0.8274,18,0.0174,2
21.1909,1,4,1042.9215,2200.4705,0,0.0,0.0,0.0,16,6,0.9878,0.0966,86,0.9246,0
0.8826,0,0,17.6294,27.315,2,0.0,0.0,0.0,80,8,0.0688,0.8342,4,0.0318,2
9.4611,2,0,877.7691,2511.4369,0,0.0,0.0,0.0,11,10,0.7735,0.0306,132,0.7009,0
0.3624,0,2,6.4814,26.6299,2,0.0,0.0,0.0,184,8,0.1974,0.8604,20,0.0728,2
0.0977,0,5,36.0139,7.8738,1,0.0,0.0,0.0,276,339,0.9903,0.052,5,0.2322,1
1.005,0,3,52.8045,10.8156,1,0.0,0.0,0.0,229,4,0.0771,0.8172,14,0.0908,2
1.0718,0,1,481.8241,591.6323,0,0.0,4.0,2.0,74,74,0.8201,0.0135,88,0.8741,3
3.4484,0,1,322.747,585.7467,0,0.0,1.0,3.0,127,38,0.8251,0.0395,104,0.7009,3
2.4392,0,0,276.7862,3242.1739,0,0.0,0.0,0.0,15,14,0.9492,0.0558,185,0.9618,0
0.2733,0,0,17.9171,3.7883,1,0.0,0.0,0.0,352,481,0.9035,0.0366,4,0.2353,1
0.097,0,0,80.2585,7.335,1,0.0,0.0,0.0,330,290,0.9845,0.0022,35,0.2536,1
10.6714,0,1,162.3344,432.252,0,0.0,4.0,7.0,48,112,0.8153,0.038,110,0.8741,3
0.1328,0,0,28.2813,8.5244,1,0.0,0.0,0.0,351,362,0.9441,0.021,2,0.308,1
12.2408,0,0,241.9413,5484.7691,0,0.0,0.0,0.0,15,16,0.9822,0.0437,72,0.7269,0
2.1414,0,0,575.6571,5832.3156,0,0.0,0.0,0.0,9,8,0.9629,0.132,107,0.9524,0
0.1074,0,0,55.4674,26.8618,2,0.0,0.0,0.0,102,13,0.0559,0.8482,19,0.0572,2
0.4512,0,5,134.817,2.7471,1,0.0,0.0,0.0,323,489,0.9003,0.0302,34,0.2507,1
9.8278,0,0,623.4982,3361.2584,0,0.0,0.0,0.0,13,9,0.7937,0.0965,58,0.9882,0
20.453,0,0,191.6875,4612.9413,0,0.0,0.0,0.0,11,8,0.8047,0.1466,156,0.8473,0
17.2767,1,3,573.6604,2909.0968,0,0.0,1.0,0.0,13,11,0.8691,0.1114,199,0.8333,0
13.699,0,1,1280.009,2803.2124,1,0.0,0.0,0.0,13,13,0.9547,0.0201,88,0.747,0
0.8652,1,2,59.4784,22.7408,1,0.0,0.0,0.0,241,1,0.1994,0.911,1,0.0885,2
7.1,0,1,204.786,682.2564,0,0.0,3.0,5.0,41,55,0.9701,0.0618,185,0.6706,3
0.2392,0,2,549.5806,703.3329,0,0.0,2.0,2.0,57,35,0.9457,0.0924,168,0.8973,3
13.0002,0,0,1677.9218,2785.3534,0,0.0,0.0,0.0,21,9,0.9462,0.1384,141,0.9904,0
0.9338,0,1,353.1583,623.1389,0,0.0,1.0,2.0,35,89,0.9911,0.0352,131,0.919,3
10.9251,0,1,244.0405,433.1563,1,0.0,2.0,5.0,60,122,0.9281,0.0708,82,0.6434,3
12.4376,0,2,1664.3475,2693.3618,2,0.0,0.0,0.0,13,14,0.8647,0.0942,202,0.9003,0
0.5085,1,4,56.2922,23.5815,1,0.0,0.0,0.0,248,3,0.2055,0.9888,22,0.187,2
10.6149,0,0,2043.3128,4144.1646,0,0.0,0.0,0.0,13,9,0.8251,0.0362,134,0.8251,0
3.1169,0,1,402.4828,482.4776,0,0.0,4.0,3.0,43,66,0.9289,0.0879,40,0.6647,3
0.276,0,0,26.5,1.3688,1,0.0,0.0,0.0,405,368,0.9067,0.0506,31,0.3883,1
0.6294,1,0,2248.1743,6204.9505,0,0.0,0.0,0.0,14,9,0.8324,0.0164,71,0.7651,0
1.1919,0,3,26.9487,16.1963,2,0.0,0.0,0.0,157,12,0.0757,0.8702,2,0.036,2
0.0715,0,5,26.2496,31.0948,1,0.0,0.0,0.0,292,11,0.1336,0.9866,24,0.0699,2
0.1387,0,0,167.7245,1.5588,1,3.0,0.0,0.0,470,396,0.9316,0.0782,29,0.3217,1
11.652,0,0,752.6189,6946.8168,0,0.0,0.0,0.0,11,18,0.9719,0.0896,90,0.8578,0
0.2589,0,2,9.4543,0.0055,1,0.0,0.0,0.0,96,9,0.224,0.7803,18,0.0643,2
17.7843,0,1,1880.5527,3245.5037,0,0.0,0.0,0.0,14,9,0.9405,0.0478,208,0.8241,0
1.2925,0,2,318.1521,287.1495,0,0.0,2.0,4.0,81,86,0.9878,0.0903,59,0.7856,3
0.1105,0,1,43.0962,30.5182,1,0.0,0.0,0.0,163,5,0.2232,0.7772,2,0.1815,2
0.6651,0,0,382.278,7803.088,0,0.0,1.0,0.0,14,8,0.9347,0.0994,111,0.9267,0
0.2504,0,1,550.8938,771.4367,0,0.0,5.0,4.0,120,126,0.9814,0.0402,67,0.7718,3
12.4797,0,0,2083.6772,5349.081,0,0.0,0.0,0.0,15,7,0.7774,0.1491,120,0.7584,0
6.485,1,1,709.9675,4270.6119,0,0.0,0.0,0.0,12,8,0.9886,0.1328,108,0.7631,0
0.0868,0,0,209.9061,5.5949,1,0.0,0.0,0.0,434,207,0.9401,0.0372,19,0.1638,1
