duration,protocol_type,service,src_bytes,dst_bytes,flag,wrong_fragment,hot,failed_logins,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate
3.3187,0,3,1145.7938,2534.4717,0,0.0,0.0,0.0,12,7,0.788,0.1259,141,0.8114
0.4396,0,2,59.3821,25.4947,0,0.0,0.0,0.0,134,4,0.0587,0.9781,17,0.1909
0.8031,2,0,15.8916,14.5825,2,0.0,0.0,0.0,266,9,0.1476,0.954,19,0.166
12.8789,0,1,202.6099,524.8038,0,0.0,2.0,6.0,113,136,0.8307,0.0387,105,0.8056
9.4729,0,4,774.0808,3343.6915,0,0.0,0.0,0.0,14,9,0.9069,0.0741,53,0.8032
1.5128,0,1,573.3948,781.7737,2,0.0,4.0,7.0,46,48,0.8622,0.0181,179,0.7685
0.2061,0,5,14.4447,2.3508,1,0.0,0.0,0.0,380,287,0.9072,0.0673,44,0.3476
0.2739,0,0,58.0115,3.9435,1,0.0,0.0,0.0,452,432,0.8765,0.0906,44,0.1794
0.5714,0,1,205.3902,353.9423,0,0.0,4.0,6.0,30,45,0.8924,0.0148,69,0.832
0.1959,0,0,336.4898,0.5442,2,0.0,0.0,0.0,266,265,0.9331,0.0825,35,0.197
0.4373,0,3,35.9298,6.6476,2,1.0,0.0,0.0,399,483,0.8702,0.0185,8,0.2581
0.5369,2,3,13.8978,31.6619,2,0.0,0.0,0.0,89,13,0.1439,0.9966,14,0.0133
5.8114,0,1,158.6174,743.898,0,0.0,1.0,6.0,135,49,0.8037,0.0822,138,0.6965
10.8981,0,1,514.9299,680.0905,0,0.0,4.0,4.0,106,129,0.899,0.0389,101,0.8618
0.6739,0,2,803.0447,1221.3843,0,0.0,0.0,0.0,11,9,0.8929,0.1066,109,0.8583
1.0141,2,1,32.8191,12.4338,2,0.0,0.0,0.0,254,9,0.1152,0.8471,21,0.0569
0.1265,0,3,42.9089,0.9147,2,0.0,0.0,0.0,307,250,0.8557,0.0133,20,0.3099
16.8007,1,3,269.4684,7667.9333,0,0.0,0.0,0.0,17,9,0.8729,0.0654,134,0.8155
5.3584,2,2,568.9543,1326.6227,0,0.0,0.0,0.0,10,11,0.8836,0.0905,138,0.8477
8.1867,0,1,406.7065,717.4901,0,0.0,5.0,2.0,36,32,0.9937,0.0436,90,0.6337
9.0734,0,4,1321.1895,3266.3051,0,0.0,0.0,0.0,15,13,0.9357,0.0583,146,0.7227
0.2909,0,0,545.4202,3660.4651,0,0.0,0.0,0.0,6,11,0.977,0.0052,110,0.8589
1.1663,1,1,21.8053,17.4613,3,0.0,0.0,0.0,287,10,0.1391,0.9385,9,0.1367
7.8702,0,1,698.6193,2527.1716,2,0.0,0.0,0.0,15,12,0.9396,0.1012,221,0.9711
0.1143,0,0,6.9975,1.8189,1,0.0,0.0,0.0,257,206,0.9057,0.049,40,0.2323
9.6655,0,0,1060.1562,4382.5987,0,0.0,0.0,0.0,12,5,0.976,0.1059,75,0.7794
3.7798,0,3,752.5945,4864.068,0,0.0,0.0,0.0,13,12,0.8931,0.1306,71,0.7386
0.5275,0,0,19.7102,28.1825,2,0.0,0.0,0.0,153,14,0.1133,0.9325,1,0.0631
5.9455,0,1,302.3088,645.3414,0,0.0,2.0,3.0,84,75,0.988,0.0698,147,0.8402
0.3293,1,0,36.3598,2.7387,0,0.0,0.0,0.0,462,454,0.9932,0.0163,2,0.1745
0.2321,0,0,27.6738,8.8924,1,0.0,0.0,0.0,485,253,0.966,0.0584,3,0.2877
3.9861,0,1,527.1802,555.2737,0,0.0,3.0,3.0,39,32,0.9198,0.0306,192,0.7974
0.0528,1,0,71.9562,5.8453,3,0.0,0.0,0.0,348,378,0.8869,0.0789,24,0.1384
2.4533,0,1,214.173,332.5527,0,0.0,1.0,7.0,71,76,0.9575,0.0539,48,0.7875
2.1045,0,1,205.2716,431.2351,0,0.0,4.0,5.0,84,133,0.9603,0.0614,107,0.7728
7.6337,0,0,558.5429,1819.8378,0,0.0,0.0,0.0,14,16,0.764,0.0497,219,0.9175
0.4915,0,0,60.1576,6.5865,1,0.0,0.0,0.0,270,283,0.8847,0.0691,39,0.3722
0.4194,1,3,54.6756,26.6298,1,0.0,0.0,0.0,220,10,0.0836,0.7924,19,0.0673
0.3733,1,3,24.8191,26.3854,1,0.0,0.0,0.0,265,14,0.0568,0.987,7,0.0495
1.2547,0,1,316.4824,318.9733,0,0.0,2.0,6.0,57,132,0.8251,0.0875,85,0.9076
19.4528,0,0,211.3471,5354.4033,1,0.0,0.0,0.0,11,7,0.8422,0.0668,213,0.819
0.1829,0,3,61.0938,1.4183,2,0.0,0.0,0.0,157,6,0.12,0.953,11,0.1698
1.8145,2,5,971.9528,1483.0114,0,0.0,0.0,0.0,13,11,0.9694,0.1004,198,0.7912
0.0551,1,2,14.6547,0.6467,1,0.0,0.0,0.0,255,13,0.0846,0.7683,21,0.0299
6.9329,0,5,1070.7485,5920.6972,0,0.0,0.0,0.0,19,9,0.7612,0.1432,82,0.7973
0.1033,1,0,110.6433,4.822,1,0.0,0.0,0.0,466,247,0.9292,0.0323,1,0.1881
5.8003,0,1,216.8812,469.0715,0,0.0,4.0,4.0,129,81,0.9796,0.0935,104,0.6968
11.5193,0,2,643.2319,624.4005,0,0.0,0.0,0.0,15,12,0.8513,0.1395,151,0.9574
0.0984,0,0,3.8153,0.8238,2,0.0,0.0,0.0,394,202,0.858,0.0135,7,0.1132
12.9402,0,1,163.5862,282.4392,2,0.0,3.0,6.0,89,105,0.9099,0.0981,145,0.6819
5.2541,0,2,498.154,497.0841,0,0.0,4.0,2.0,138,61,0.8181,0.0785,154,0.7534
1.0582,1,0,2834.3665,3750.896,0,0.0,0.0,0.0,16,9,0.9938,0.1406,170,0.9235
15.2101,0,0,2580.2666,3606.4632,0,0.0,0.0,0.0,17,11,0.9649,0.0614,92,0.787
0.4434,1,0,25.9368,5.7921,0,1.0,0.0,0.0,407,487,0.8769,0.0722,18,0.1093
0.0152,0,0,212.0708,6.7799,1,0.0,0.0,0.0,433,386,0.9423,0.0202,24,0.2519
0.1549,0,0,134.902,9.2193,2,0.0,0.0,0.0,493,400,0.9087,0.0219,5,0.1686
0.3623,0,0,58.2206,3.7975,1,0.0,0.0,0.0,432,348,0.9433,0.0554,5,0.1669
0.4834,1,5,211.7594,1192.5726,0,0.0,0.0,0.0,15,11,0.9592,0.0099,155,0.7298
0.0583,1,0,91.8724,5.3798,1,0.0,0.0,0.0,503,279,0.8659,0.0167,37,0.1092
0.6178,0,1,580.1546,610.6822,0,0.0,1.0,6.0,59,126,0.9451,0.0567,186,0.8374
3.6633,0,1,550.7961,300.3314,0,0.0,3.0,6.0,54,69,0.8357,0.0631,106,0.8487
0.8533,1,1,31.6893,22.274,1,0.0,0.0,0.0,86,2,0.1478,0.8241,10,0.1189
0.1081,0,0,1.8369,7.4186,1,0.0,0.0,0.0,259,449,0.9224,0.0302,48,0.2274
0.3807,0,2,62.1203,19.4871,2,0.0,0.0,0.0,162,2,0.1047,0.9065,23,0.0981
0.1689,1,0,41.792,3.6158,1,0.0,0.0,0.0,385,432,0.9439,0.0817,5,0.1873
0.2623,0,3,51.9578,4.0828,1,1.0,0.0,0.0,368,228,0.9549,0.0618,39,0.3218
17.7381,0,5,149.8518,1820.995,0,0.0,0.0,0.0,16,14,0.8609,0.0724,79,0.8182
6.4655,2,1,447.8043,2489.5452,0,0.0,0.0,0.0,14,13,0.7609,0.1022,158,0.826
5.7849,0,5,399.5384,507.9167,0,0.0,0.0,0.0,16,11,0.75,0.1234,211,0.9684
1.0393,0,3,23.2514,13.5423,1,0.0,0.0,0.0,232,2,0.0702,0.9825,14,0.0912
0.4424,1,0,38.4073,0.1182,1,0.0,0.0,0.0,371,476,0.9912,0.0853,3,0.3796
0.2817,0,5,57.271,21.9857,1,0.0,0.0,0.0,107,5,0.1308,0.9048,10,0.0844
1.0343,0,1,294.7529,597.6149,0,0.0,1.0,7.0,143,127,0.9413,0.0328,43,0.6466
0.1423,1,4,23.7089,2.7219,1,0.0,0.0,0.0,124,8,0.1945,0.9455,5,0.0309
0.3034,1,0,14.4147,8.2572,1,0.0,0.0,0.0,306,332,0.9391,0.0483,35,0.1974
0.4725,2,1,23.9384,5.5138,2,0.0,0.0,0.0,266,6,0.1212,0.8551,10,0.109
4.598,0,3,993.7859,2090.6865,0,0.0,0.0,0.0,15,9,0.8586,0.1034,200,0.7368
4.3815,0,1,517.2481,605.09,1,0.0,2.0,5.0,78,77,0.8351,0.0684,50,0.7348
0.1612,0,0,60.2303,4.4756,2,0.0,0.0,0.0,392,331,0.8683,0.0161,9,0.3211
1.2601,0,1,503.5937,426.2965,0,0.0,5.0,4.0,144,32,0.9245,0.0211,165,0.6949
0.4911,0,0,30.2438,5.764,1,0.0,0.0,0.0,287,393,0.9749,0.0984,41,0.3939
0.0351,0,0,1.7716,10.711,1,0.0,0.0,0.0,88,9,0.0191,0.772,23,0.038
21.0496,0,5,256.0414,3460.188,0,0.0,0.0,0.0,11,11,0.8908,0.0948,123,0.9714
0.0379,0,0,77.6992,3.918,2,0.0,0.0,0.0,282,469,0.8659,0.0123,9,0.1855
4.7546,0,1,178.5584,593.276,1,0.0,3.0,5.0,81,96,0.8476,0.0622,51,0.844
6.2957,0,1,262.6714,312.1727,0,0.0,1.0,7.0,100,133,0.9605,0.056,80,0.7389
1.1815,0,3,18.1212,18.9497,2,0.0,0.0,0.0,119,2,0.1229,0.7977,14,0.1918
0.2574,0,3,41.3379,3.9889,1,0.0,0.0,0.0,412,349,0.9132,0.0983,44,0.3681
9.439,0,1,354.8403,226.1019,1,0.0,2.0,7.0,54,81,0.9359,0.061,173,0.8787
9.583,1,1,580.3813,4536.7655,0,0.0,0.0,0.0,21,22,0.9548,0.0417,80,0.9443
1.0088,1,0,53.8794,11.2305,1,0.0,0.0,0.0,204,14,0.0564,0.9233,10,0.0664
0.9989,1,1,15.3325,22.0853,2,0.0,0.0,0.0,277,7,0.1956,0.765,8,0.1217
17.7253,0,0,818.5059,659.7646,0,0.0,0.0,0.0,22,8,0.8588,0.0161,249,0.9203
0.6972,1,2,39.7008,22.0092,1,0.0,0.0,0.0,247,5,0.2317,0.8322,7,0.0578
0.438,0,0,50.0869,7.5088,1,0.0,0.0,0.0,396,363,0.8791,0.0069,3,0.174
14.7611,1,0,674.1181,2972.9103,0,0.0,0.0,0.0,17,12,0.854,0.0553,87,0.7335
12.2477,0,0,321.098,3980.4948,0,0.0,0.0,0.0,10,9,0.9067,0.1318,113,0.7104
12.4123,0,0,263.059,5028.2498,0,0.0,0.0,0.0,12,9,0.8453,0.1315,84,0.9992
0.3208,0,0,151.9911,8.229,1,0.0,0.0,0.0,310,284,0.8734,0.0775,36,0.2542
3.1293,0,2,426.2301,775.912,0,0.0,5.0,2.0,122,80,0.8553,0.036,98,0.7718
0.3914,0,0,360.3467,8.5504,1,0.0,0.0,0.0,454,269,0.9261,0.0779,32,0.1876
29.7467,0,4,413.6774,3675.3333,0,0.0,0.0,0.0,13,10,0.9985,0.0941,250,0.9886
0.8271,0,3,31.3141,4.0125,2,0.0,0.0,0.0,191,8,0.1829,0.9466,2,0.198
4.5458,0,2,513.938,430.4517,0,0.0,5.0,3.0,56,58,0.8147,0.0203,143,0.9431
0.2445,1,3,0.4658,2.6518,1,0.0,0.0,0.0,276,11,0.1302,0.9928,12,0.1439
8.8143,1,0,472.5658,5763.5265,0,0.0,0.0,0.0,18,9,0.7946,0.099,54,0.7496
12.6349,0,2,1205.4595,2779.4297,0,0.0,0.0,0.0,13,17,0.8342,0.046,174,0.9557
0.4158,0,0,116.6732,7.2087,3,0.0,0.0,0.0,400,422,0.9698,0.0972,23,0.2604
56.1396,1,3,622.0195,8758.3955,0,0.0,0.0,0.0,16,17,0.9722,0.0588,141,0.8312
0.6623,0,1,379.9084,240.9971,0,0.0,2.0,2.0,138,101,0.9249,0.0143,192,0.7895
0.8085,0,3,11.7703,6.2416,1,0.0,0.0,0.0,295,3,0.1409,0.7743,1,0.0751
0.7518,1,4,5.7755,20.9895,2,0.0,0.0,0.0,160,7,0.1568,0.9268,13,0.0723
8.2199,0,1,215.5928,221.5219,0,0.0,2.0,7.0,142,136,0.8734,0.0731,190,0.9121
9.5341,0,3,990.9233,2780.2512,0,0.0,0.0,0.0,19,9,0.906,0.121,226,0.8645
1.4384,0,0,428.7345,3987.925,0,0.0,0.0,0.0,18,9,0.9346,0.129,61,0.8238
0.4475,0,0,88.2573,1.5837,1,0.0,0.0,0.0,495,200,0.8799,0.0646,16,0.2908
0.1407,0,0,28.7499,0.3595,2,0.0,0.0,0.0,169,10,0.1638,0.7746,7,0.1786
0.0535,0,5,65.0196,5.3785,1,0.0,0.0,0.0,334,279,0.922,0.0193,33,0.176
13.0852,0,0,1068.0076,1595.7937,0,0.0,0.0,0.0,14,11,0.8477,0.1454,156,0.8538
9.7709,0,2,385.7148,525.4771,0,0.0,3.0,6.0,96,128,0.9536,0.0893,186,0.9323
9.7418,1,1,504.0239,3735.8457,0,0.0,0.0,0.0,11,14,0.9548,0.1343,199,0.9765
0.2947,0,3,74.4537,2.4175,1,0.0,0.0,0.0,436,278,0.917,0.0764,2,0.2058
0.6117,0,5,9.4454,21.4875,1,0.0,0.0,0.0,125,12,0.0174,0.8337,15,0.0105
0.2929,0,5,92.2742,4.1412,1,0.0,0.0,0.0,367,505,0.9735,0.0273,4,0.3477
0.8491,1,1,11.9159,30.7956,2,0.0,0.0,0.0,286,2,0.1928,0.906,19,0.0822
0.2572,0,3,23.6373,28.4544,2,0.0,0.0,0.0,130,12,0.0776,0.825,6,0.0509
0.0411,1,3,50.8609,3.5168,1,0.0,0.0,0.0,263,361,0.9656,0.0164,14,0.1105
0.0455,0,3,50.0537,27.1124,2,0.0,0.0,0.0,272,6,0.1419,0.7593,1,0.056
8.5856,0,1,374.4496,324.5728,0,0.0,4.0,5.0,55,116,0.9697,0.0705,99,0.9069
2.8801,0,1,410.5964,233.3338,0,0.0,4.0,5.0,92,134,0.8648,0.0844,142,0.9204
0.3602,0,0,59.5268,5.9342,1,0.0,0.0,0.0,364,447,0.9913,0.0474,29,0.2467
6.1393,0,0,1140.2216,5188.4888,0,0.0,0.0,0.0,7,10,0.9402,0.1217,234,0.7245
0.8504,0,1,163.227,404.3747,0,0.0,2.0,2.0,120,139,0.8298,0.0285,188,0.7299
11.9084,0,1,219.3136,584.3288,0,0.0,5.0,4.0,113,103,0.9445,0.0837,124,0.8511
27.5694,0,0,355.7385,7037.6176,0,0.0,0.0,0.0,15,12,0.8108,0.0767,202,0.7807
13.54,0,2,573.7119,517.0959,0,0.0,5.0,6.0,136,41,0.9988,0.0424,40,0.6339
0.7963,0,2,63.3416,24.2145,2,0.0,0.0,0.0,148,14,0.1837,0.9226,19,0.17
0.2282,1,3,60.4701,16.0662,2,0.0,0.0,0.0,197,14,0.2142,0.8496,10,0.1548
3.5094,0,1,358.6968,679.0993,0,0.0,3.0,3.0,97,90,0.9138,0.0273,56,0.7745
2.1156,0,1,2265.7387,3758.5469,0,0.0,0.0,0.0,15,11,0.8251,0.092,208,0.925
0.5868,0,5,58.5879,0.6605,1,0.0,0.0,0.0,293,4,0.0719,0.7531,18,0.1762
1.2266,0,1,339.7064,337.6428,0,0.0,5.0,7.0,81,119,0.9929,0.002,102,0.839
0.2165,0,5,36.1052,3.1032,2,0.0,0.0,0.0,216,14,0.029,0.9664,4,0.1231
0.0153,0,2,10.4993,3.3552,1,0.0,0.0,0.0,92,12,0.1627,0.8708,3,0.0832
6.6025,0,1,294.7419,714.6452,0,0.0,1.0,5.0,142,26,0.9734,0.012,142,0.9188
1.4106,0,0,185.0354,5232.5472,0,0.0,0.0,0.0,15,9,0.971,0.1478,253,0.9773
0.338,1,0,157.6845,8.6876,3,0.0,0.0,0.0,476,433,0.928,0.0942,39,0.241
22.7571,0,1,313.9997,687.7728,0,0.0,5.0,7.0,79,30,0.8758,0.0693,56,0.6389
0.3275,1,4,7.2043,13.3269,2,0.0,0.0,0.0,208,4,0.0807,0.9769,24,0.1557
0.0273,0,0,39.3368,4.0802,2,0.0,0.0,0.0,265,364,0.861,0.084,26,0.2517
0.1361,0,0,36.2625,3.2833,1,0.0,0.0,0.0,297,484,0.9495,0.0864,48,0.3651
1.0086,0,4,27.7872,4.5987,2,0.0,0.0,0.0,297,5,0.1316,0.9918,18,0.1267
25.0313,0,3,963.2566,4940.4178,0,0.0,0.0,0.0,16,11,0.7579,0.1068,131,0.9286
2.4381,0,1,176.1128,552.8037,0,0.0,4.0,2.0,99,71,0.976,0.0863,156,0.8259
0.1304,0,0,11.1733,5.4545,1,0.0,0.0,0.0,348,423,0.8765,0.0897,10,0.1579
0.4128,2,0,73.4699,2.3168,1,0.0,0.0,0.0,370,205,0.9667,0.0752,44,0.237
0.5659,0,0,29.2341,2.8009,2,0.0,0.0,0.0,160,5,0.1483,0.833,12,0.0136
4.0177,0,1,349.7059,559.7928,0,0.0,3.0,7.0,89,25,0.807,0.0612,42,0.7161
3.2921,0,1,226.932,520.3174,0,0.0,4.0,6.0,141,39,0.911,0.0855,82,0.7769
5.787,2,2,742.7287,3736.6002,0,0.0,0.0,0.0,13,11,0.8692,0.0328,219,0.8809
0.4016,2,3,50.5897,0.9758,2,0.0,0.0,0.0,234,13,0.114,0.7986,3,0.0472
0.2851,0,3,29.9094,11.7421,2,0.0,0.0,0.0,198,13,0.1626,0.7872,19,0.1414
7.2396,0,1,474.0377,276.7999,1,0.0,2.0,4.0,51,90,0.8829,0.0049,150,0.798
0.3579,0,0,38.1957,9.5797,1,0.0,0.0,0.0,272,322,0.904,0.0847,18,0.1225
2.9915,0,1,399.2066,433.8555,0,0.0,3.0,6.0,147,43,0.9111,0.0753,163,0.7472
0.8084,0,1,257.1153,213.0252,0,0.0,4.0,7.0,87,68,0.85,0.0667,152,0.8098
0.097,0,5,130.0702,5.5932,1,0.0,0.0,0.0,278,240,0.9484,0.0465,39,0.2602
0.2741,0,3,56.4818,11.5766,1,0.0,0.0,0.0,118,2,0.2134,0.8515,21,0.0338
19.9062,0,0,1203.6295,3750.2361,0,0.0,0.0,0.0,13,16,0.8526,0.1317,222,0.796
0.3046,0,1,174.645,219.1552,0,0.0,5.0,3.0,112,109,0.8091,0.075,83,0.7646
1.145,0,0,57.2521,4.6244,0,0.0,0.0,0.0,148,10,0.0488,0.8361,7,0.1125
0.0866,0,0,20.1968,2.6308,1,0.0,0.0,0.0,324,321,0.9719,0.0498,8,0.2243
33.6975,0,0,528.4652,2416.2306,0,0.0,0.0,0.0,10,12,0.8452,0.1002,198,0.886
0.1501,1,0,140.1826,6.9511,1,1.0,0.0,0.0,343,448,0.99,0.081,40,0.2961
0.2329,1,0,43.7359,6.7118,1,0.0,0.0,0.0,262,411,0.8763,0.0019,41,0.3105
0.2968,0,0,88.0362,6.8308,1,0.0,0.0,0.0,385,396,0.9103,0.0492,10,0.1763
0.2053,2,2,39.7017,7.3576,2,0.0,0.0,0.0,101,9,0.0518,0.8352,7,0.0226
2.2088,0,2,242.2299,571.0398,0,0.0,4.0,7.0,109,63,0.8437,0.0771,106,0.7597
0.7531,1,3,23.6725,14.285,2,0.0,0.0,0.0,285,8,0.1209,0.9304,23,0.1627
6.5325,0,1,929.8835,3619.1635,2,0.0,0.0,0.0,13,9,0.9742,0.0387,209,0.7662
0.5556,1,1,35.4082,2.7721,1,0.0,0.0,0.0,165,11,0.1768,0.9192,15,0.0128
0.6579,2,3,14.0608,11.5845,2,0.0,0.0,0.0,220,11,0.1061,0.871,23,0.1818
21.2261,1,0,168.4301,4311.4355,0,0.0,0.0,0.0,13,12,0.8618,0.0418,51,0.7911
12.3646,1,0,840.2793,4495.9157,0,0.0,0.0,0.0,12,6,0.9262,0.1064,183,0.9823
0.6042,0,3,4.5899,30.8564,2,0.0,0.0,0.0,140,5,0.2071,0.9561,9,0.0409
0.2857,1,0,37.6246,4.1497,0,0.0,0.0,0.0,175,9,0.1622,0.9386,2,0.0983
1.2843,0,1,224.19,335.6891,0,0.0,3.0,7.0,102,61,0.8162,0.0804,135,0.8765
0.3262,0,1,41.3841,2.156,2,0.0,0.0,0.0,143,4,0.0539,0.7996,7,0.1369
15.3935,1,0,1174.6454,2252.483,0,0.0,0.0,0.0,16,13,0.8347,0.1006,204,0.9432
0.4733,0,0,119.1724,2.8334,1,0.0,0.0,0.0,377,263,0.9139,0.0832,13,0.3906
0.2848,0,0,103.6779,4.9355,3,0.0,0.0,0.0,511,241,0.9309,0.0532,40,0.3546
0.8948,0,0,50.0467,12.2919,1,0.0,0.0,0.0,107,4,0.1629,0.7577,7,0.1142
18.076,0,0,884.2533,4032.39,0,0.0,0.0,0.0,13,13,0.7603,0.0344,143,0.7451
1.5141,0,1,563.6988,268.6477,0,0.0,1.0,3.0,122,76,0.9243,0.0123,73,0.6898
18.8467,1,0,331.4394,2300.1636,0,0.0,1.0,0.0,13,11,0.8694,0.1178,173,0.9137
5.0033,0,1,435.3157,327.1652,1,0.0,1.0,6.0,133,76,0.902,0.0859,198,0.6807
21.123,0,0,1087.6063,2373.9155,0,0.0,0.0,0.0,11,10,0.8035,0.1203,78,0.732
0.1497,0,0,56.9566,9.2669,1,0.0,0.0,0.0,385,213,0.8849,0.0917,37,0.2011
8.681,0,1,381.3335,718.3032,1,0.0,4.0,2.0,98,65,0.8522,0.0376,111,0.6314
0.4861,1,0,32.6599,5.9315,1,0.0,0.0,0.0,265,266,0.8508,0.0925,5,0.2326
3.8707,0,1,575.8548,665.4145,0,0.0,4.0,3.0,63,64,0.9007,0.0004,61,0.7664
12.5221,0,0,274.639,1325.96,0,0.0,0.0,0.0,17,11,0.7606,0.025,191,0.9299
0.0295,1,2,26.1297,7.9742,2,0.0,0.0,0.0,87,8,0.0644,0.7508,5,0.027
0.5013,0,1,258.4497,254.0631,0,0.0,5.0,6.0,68,137,0.847,0.0289,114,0.6048
4.9363,0,0,2161.3327,3798.2082,0,0.0,0.0,0.0,15,6,0.943,0.1045,248,0.794
0.9711,0,0,2.5254,5.8174,1,0.0,0.0,0.0,265,5,0.0215,0.9266,15,0.0955
0.0527,0,2,42.1639,31.4916,2,0.0,0.0,0.0,99,12,0.2275,0.9378,17,0.1542
0.7662,0,3,6.0623,9.2042,1,0.0,0.0,0.0,101,11,0.2191,0.8366,8,0.1055
1.3003,1,0,529.9537,1926.8613,0,0.0,0.0,0.0,19,13,0.9095,0.0638,252,0.934
0.5131,0,5,18.6161,14.1785,2,0.0,0.0,0.0,244,4,0.2018,0.8626,21,0.0658
0.8191,0,0,59.0565,10.987,1,0.0,0.0,0.0,298,7,0.2482,0.8656,21,0.0448
7.8269,1,0,103.4439,2680.3619,0,0.0,0.0,0.0,15,8,0.96,0.1233,135,0.8327
3.8712,0,1,428.8757,587.7138,2,0.0,2.0,5.0,48,35,0.8182,0.0432,76,0.6866
0.2442,0,0,52.7626,5.1739,2,0.0,0.0,0.0,310,319,0.8618,0.0079,33,0.2544
0.4891,0,0,96.0305,6.7218,1,0.0,0.0,0.0,398,445,0.9172,0.0733,37,0.1256
0.4632,0,0,190.5494,0.8567,1,0.0,0.0,0.0,442,494,0.9369,0.0925,9,0.24
0.7849,0,4,1.0794,0.8031,2,0.0,0.0,0.0,225,14,0.1455,0.9469,1,0.1282
0.4577,0,3,64.0605,7.2522,1,0.0,0.0,0.0,383,422,0.96,0.0563,49,0.1488
0.4447,0,0,31.2161,2.9384,1,0.0,0.0,0.0,258,491,0.8864,0.006,46,0.2167
0.7194,0,1,411.529,378.4754,0,0.0,2.0,2.0,32,74,0.851,0.0158,127,0.7396
0.6131,1,2,33.2646,15.7742,1,0.0,0.0,0.0,192,11,0.0192,0.88,18,0.1747
6.9043,1,5,730.8474,4274.2834,0,0.0,0.0,0.0,14,13,0.8394,0.0294,83,0.7797
0.0652,0,0,15.3485,0.5843,1,0.0,0.0,0.0,371,203,0.8614,0.0334,29,0.3258
3.4511,0,0,395.72,4285.6203,0,0.0,0.0,0.0,21,8,0.7692,0.0704,215,0.7946
14.1941,0,0,491.2062,3419.7207,0,0.0,0.0,0.0,12,12,0.8129,0.0726,71,0.8709
5.3604,0,2,2065.0604,6869.1783,0,0.0,0.0,0.0,14,10,0.8715,0.0832,60,0.9249
22.9734,0,3,992.1644,4649.0902,0,0.0,0.0,0.0,16,14,0.8655,0.1222,230,0.8929
11.5554,0,0,451.6538,3940.9049,0,0.0,0.0,0.0,11,8,0.7593,0.146,120,0.779
9.0508,0,1,552.567,534.3656,1,0.0,2.0,7.0,114,78,0.8922,0.0326,97,0.6303
15.3117,0,0,244.4521,3690.7274,0,0.0,0.0,0.0,13,8,0.8491,0.0739,159,0.8083
0.4458,2,4,43.757,7.9699,1,0.0,0.0,0.0,199,7,0.111,0.8242,12,0.019
0.2429,0,2,56.9744,14.8909,1,0.0,0.0,0.0,196,11,0.1468,0.8474,17,0.1041
0.9481,0,3,5.5575,23.7914,0,0.0,0.0,0.0,99,12,0.236,0.8339,7,0.041
2.9815,0,1,257.1972,350.8486,2,0.0,5.0,5.0,148,37,0.9012,0.0754,138,0.7166
1.2278,0,1,455.6369,605.9288,2,0.0,1.0,6.0,65,124,0.8984,0.0371,170,0.8205
0.2717,0,0,175.13,9.4601,1,0.0,0.0,0.0,319,428,0.9208,0.0939,2,0.2202
12.8319,0,2,173.2007,204.7477,0,0.0,4.0,2.0,52,138,0.8678,0.0382,166,0.7502
4.0448,0,2,456.4954,676.2221,0,0.0,5.0,3.0,101,132,0.93,0.0684,197,0.6842
0.6599,1,0,41.7121,23.4601,0,0.0,0.0,0.0,80,7,0.2153,0.9042,14,0.0394
